Cat,Gender,Age,Year,Region,Pop
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2015,Central East,22
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2015,Central East,42
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2015,Central East,49
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2015,Central East,46
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2015,Central East,51
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2015,Central East,30
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2015,Central East,63
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2015,Central East,67
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2015,Central East,64
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2015,Central East,71
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2015,Central East,30
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2015,Central East,52
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2015,Central East,64
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2015,Central East,51
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2015,Central East,55
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2015,Central East,41
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2015,Central East,84
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2015,Central East,94
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2015,Central East,84
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2015,Central East,81
RADIO,Male,28-24,2015,Central East,16
RADIO,Male,25-34,2015,Central East,38
RADIO,Male,35-44,2015,Central East,56
RADIO,Male,45-54,2015,Central East,46
RADIO,Male,55+,2015,Central East,66
RADIO,Female,28-24,2015,Central East,36
RADIO,Female,25-34,2015,Central East,63
RADIO,Female,35-44,2015,Central East,79
RADIO,Female,45-54,2015,Central East,73
RADIO,Female,55+,2015,Central East,81
Digital_Music,Male,28-24,2015,Central East,18
Digital_Music,Male,25-34,2015,Central East,31
Digital_Music,Male,35-44,2015,Central East,29
Digital_Music,Male,45-54,2015,Central East,30
Digital_Music,Male,55+,2015,Central East,18
Digital_Music,Female,28-24,2015,Central East,32
Digital_Music,Female,25-34,2015,Central East,50
Digital_Music,Female,35-44,2015,Central East,56
Digital_Music,Female,45-54,2015,Central East,36
Digital_Music,Female,55+,2015,Central East,21
Totals,Male,28-24,2016,Central East,27
Totals,Male,25-34,2016,Central East,45
Totals,Male,35-44,2016,Central East,46
Totals,Male,45-54,2016,Central East,66
Totals,Male,55+,2016,Central East,88
Totals,Female,28-24,2016,Central East,35
Totals,Female,25-34,2016,Central East,79
Totals,Female,35-44,2016,Central East,69
Totals,Female,45-54,2016,Central East,102
Totals,Female,55+,2016,Central East,150
Video_Game,Male,28-24,2016,Central East,23
Video_Game,Male,25-34,2016,Central East,33
Video_Game,Male,35-44,2016,Central East,34
Video_Game,Male,45-54,2016,Central East,25
Video_Game,Male,55+,2016,Central East,11
Video_Game,Female,28-24,2016,Central East,15
Video_Game,Female,25-34,2016,Central East,41
Video_Game,Female,35-44,2016,Central East,28
Video_Game,Female,45-54,2016,Central East,29
Video_Game,Female,55+,2016,Central East,27
Streaming_Video,Male,28-24,2016,Central East,21
Streaming_Video,Male,25-34,2016,Central East,40
Streaming_Video,Male,35-44,2016,Central East,33
Streaming_Video,Male,45-54,2016,Central East,51
Streaming_Video,Male,55+,2016,Central East,66
Streaming_Video,Female,28-24,2016,Central East,31
Streaming_Video,Female,25-34,2016,Central East,60
Streaming_Video,Female,35-44,2016,Central East,57
Streaming_Video,Female,45-54,2016,Central East,75
Streaming_Video,Female,55+,2016,Central East,108
Digital_Music,Male,28-24,2016,Central East,27
Digital_Music,Male,25-34,2016,Central East,45
Digital_Music,Male,35-44,2016,Central East,46
Digital_Music,Male,45-54,2016,Central East,66
Digital_Music,Male,55+,2016,Central East,88
Digital_Music,Female,28-24,2016,Central East,35
Digital_Music,Female,25-34,2016,Central East,79
Digital_Music,Female,35-44,2016,Central East,69
Digital_Music,Female,45-54,2016,Central East,102
Digital_Music,Female,55+,2016,Central East,150
TV,Male,28-24,2016,Central East,17
TV,Male,25-34,2016,Central East,32
TV,Male,35-44,2016,Central East,38
TV,Male,45-54,2016,Central East,60
TV,Male,55+,2016,Central East,84
TV,Female,28-24,2016,Central East,25
TV,Female,25-34,2016,Central East,63
TV,Female,35-44,2016,Central East,60
TV,Female,45-54,2016,Central East,97
TV,Female,55+,2016,Central East,142
RADIO,Male,28-24,2016,Central East,20
RADIO,Male,25-34,2016,Central East,32
RADIO,Male,35-44,2016,Central East,34
RADIO,Male,45-54,2016,Central East,54
RADIO,Male,55+,2016,Central East,66
RADIO,Female,28-24,2016,Central East,29
RADIO,Female,25-34,2016,Central East,64
RADIO,Female,35-44,2016,Central East,63
RADIO,Female,45-54,2016,Central East,85
RADIO,Female,55+,2016,Central East,110
MAGAZINE,Male,28-24,2016,Central East,21
MAGAZINE,Male,25-34,2016,Central East,33
MAGAZINE,Male,35-44,2016,Central East,37
MAGAZINE,Male,45-54,2016,Central East,55
MAGAZINE,Male,55+,2016,Central East,78
MAGAZINE,Female,28-24,2016,Central East,29
MAGAZINE,Female,25-34,2016,Central East,58
MAGAZINE,Female,35-44,2016,Central East,54
MAGAZINE,Female,45-54,2016,Central East,93
MAGAZINE,Female,55+,2016,Central East,136
MOVIE_GOERS,Male,28-24,2016,Central East,27
MOVIE_GOERS,Male,25-34,2016,Central East,45
MOVIE_GOERS,Male,35-44,2016,Central East,46
MOVIE_GOERS,Male,45-54,2016,Central East,66
MOVIE_GOERS,Male,55+,2016,Central East,88
MOVIE_GOERS,Female,28-24,2016,Central East,35
MOVIE_GOERS,Female,25-34,2016,Central East,79
MOVIE_GOERS,Female,35-44,2016,Central East,69
MOVIE_GOERS,Female,45-54,2016,Central East,102
MOVIE_GOERS,Female,55+,2016,Central East,150
SUPERMARKET_GOER_LAST_4_WEEKS,Male,28-24,2016,Central East,25
SUPERMARKET_GOER_LAST_4_WEEKS,Male,25-34,2016,Central East,45
SUPERMARKET_GOER_LAST_4_WEEKS,Male,35-44,2016,Central East,45
SUPERMARKET_GOER_LAST_4_WEEKS,Male,45-54,2016,Central East,65
SUPERMARKET_GOER_LAST_4_WEEKS,Male,55+,2016,Central East,86
SUPERMARKET_GOER_LAST_4_WEEKS,Female,28-24,2016,Central East,35
SUPERMARKET_GOER_LAST_4_WEEKS,Female,25-34,2016,Central East,79
SUPERMARKET_GOER_LAST_4_WEEKS,Female,35-44,2016,Central East,69
SUPERMARKET_GOER_LAST_4_WEEKS,Female,45-54,2016,Central East,102
SUPERMARKET_GOER_LAST_4_WEEKS,Female,55+,2016,Central East,147
TABLET_OWNER,Male,28-24,2016,Central East,7
TABLET_OWNER,Male,25-34,2016,Central East,16
TABLET_OWNER,Male,35-44,2016,Central East,27
TABLET_OWNER,Male,45-54,2016,Central East,32
TABLET_OWNER,Male,55+,2016,Central East,34
TABLET_OWNER,Female,28-24,2016,Central East,16
TABLET_OWNER,Female,25-34,2016,Central East,43
TABLET_OWNER,Female,35-44,2016,Central East,43
TABLET_OWNER,Female,45-54,2016,Central East,56
TABLET_OWNER,Female,55+,2016,Central East,69
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2016,Central East,13
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2016,Central East,25
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2016,Central East,25
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2016,Central East,34
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2016,Central East,42
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2016,Central East,23
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2016,Central East,36
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2016,Central East,36
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2016,Central East,57
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2016,Central East,68
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2016,Central East,26
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2016,Central East,41
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2016,Central East,41
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2016,Central East,54
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2016,Central East,55
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2016,Central East,35
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2016,Central East,79
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2016,Central East,67
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2016,Central East,93
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2016,Central East,114
Totals,Male,28-24,2017,Central East,15
Totals,Male,25-34,2017,Central East,22
Totals,Male,35-44,2017,Central East,28
Totals,Male,45-54,2017,Central East,15
Totals,Male,55+,2017,Central East,19
Totals,Female,28-24,2017,Central East,7
Totals,Female,25-34,2017,Central East,29
Totals,Female,35-44,2017,Central East,25
Totals,Female,45-54,2017,Central East,18
Totals,Female,55+,2017,Central East,16
Video_Game,Male,28-24,2017,Central East,15
Video_Game,Male,25-34,2017,Central East,22
Video_Game,Male,35-44,2017,Central East,28
Video_Game,Male,45-54,2017,Central East,13
Video_Game,Male,55+,2017,Central East,15
Video_Game,Female,28-24,2017,Central East,6
Video_Game,Female,25-34,2017,Central East,26
Video_Game,Female,35-44,2017,Central East,25
Video_Game,Female,45-54,2017,Central East,17
Video_Game,Female,55+,2017,Central East,13
Streaming_Video,Male,28-24,2017,Central East,14
Streaming_Video,Male,25-34,2017,Central East,19
Streaming_Video,Male,35-44,2017,Central East,26
Streaming_Video,Male,45-54,2017,Central East,12
Streaming_Video,Male,55+,2017,Central East,15
Streaming_Video,Female,28-24,2017,Central East,7
Streaming_Video,Female,25-34,2017,Central East,26
Streaming_Video,Female,35-44,2017,Central East,21
Streaming_Video,Female,45-54,2017,Central East,15
Streaming_Video,Female,55+,2017,Central East,13
Digital_Music,Male,28-24,2017,Central East,15
Digital_Music,Male,25-34,2017,Central East,22
Digital_Music,Male,35-44,2017,Central East,28
Digital_Music,Male,45-54,2017,Central East,15
Digital_Music,Male,55+,2017,Central East,19
Digital_Music,Female,28-24,2017,Central East,7
Digital_Music,Female,25-34,2017,Central East,29
Digital_Music,Female,35-44,2017,Central East,25
Digital_Music,Female,45-54,2017,Central East,18
Digital_Music,Female,55+,2017,Central East,16
TV,Male,28-24,2017,Central East,13
TV,Male,25-34,2017,Central East,11
TV,Male,35-44,2017,Central East,27
TV,Male,45-54,2017,Central East,13
TV,Male,55+,2017,Central East,18
TV,Female,28-24,2017,Central East,6
TV,Female,25-34,2017,Central East,18
TV,Female,35-44,2017,Central East,23
TV,Female,45-54,2017,Central East,17
TV,Female,55+,2017,Central East,15
RADIO,Male,28-24,2017,Central East,10
RADIO,Male,25-34,2017,Central East,13
RADIO,Male,35-44,2017,Central East,25
RADIO,Male,45-54,2017,Central East,13
RADIO,Male,55+,2017,Central East,14
RADIO,Female,28-24,2017,Central East,5
RADIO,Female,25-34,2017,Central East,25
RADIO,Female,35-44,2017,Central East,20
RADIO,Female,45-54,2017,Central East,14
RADIO,Female,55+,2017,Central East,15
MAGAZINE,Male,28-24,2017,Central East,12
MAGAZINE,Male,25-34,2017,Central East,11
MAGAZINE,Male,35-44,2017,Central East,18
MAGAZINE,Male,45-54,2017,Central East,12
MAGAZINE,Male,55+,2017,Central East,18
MAGAZINE,Female,28-24,2017,Central East,6
MAGAZINE,Female,25-34,2017,Central East,21
MAGAZINE,Female,35-44,2017,Central East,23
MAGAZINE,Female,45-54,2017,Central East,16
MAGAZINE,Female,55+,2017,Central East,14
MOVIE_GOERS,Male,28-24,2017,Central East,15
MOVIE_GOERS,Male,25-34,2017,Central East,22
MOVIE_GOERS,Male,35-44,2017,Central East,28
MOVIE_GOERS,Male,45-54,2017,Central East,15
MOVIE_GOERS,Male,55+,2017,Central East,19
MOVIE_GOERS,Female,28-24,2017,Central East,7
MOVIE_GOERS,Female,25-34,2017,Central East,29
MOVIE_GOERS,Female,35-44,2017,Central East,25
MOVIE_GOERS,Female,45-54,2017,Central East,18
MOVIE_GOERS,Female,55+,2017,Central East,16
SUPERMARKET_GOER_LAST_4_WEEKS,Male,28-24,2017,Central East,14
SUPERMARKET_GOER_LAST_4_WEEKS,Male,25-34,2017,Central East,20
SUPERMARKET_GOER_LAST_4_WEEKS,Male,35-44,2017,Central East,28
SUPERMARKET_GOER_LAST_4_WEEKS,Male,45-54,2017,Central East,15
SUPERMARKET_GOER_LAST_4_WEEKS,Male,55+,2017,Central East,19
SUPERMARKET_GOER_LAST_4_WEEKS,Female,28-24,2017,Central East,7
SUPERMARKET_GOER_LAST_4_WEEKS,Female,25-34,2017,Central East,28
SUPERMARKET_GOER_LAST_4_WEEKS,Female,35-44,2017,Central East,25
SUPERMARKET_GOER_LAST_4_WEEKS,Female,45-54,2017,Central East,17
SUPERMARKET_GOER_LAST_4_WEEKS,Female,55+,2017,Central East,16
TABLET_OWNER,Male,28-24,2017,Central East,6
TABLET_OWNER,Male,25-34,2017,Central East,14
TABLET_OWNER,Male,35-44,2017,Central East,16
TABLET_OWNER,Male,45-54,2017,Central East,11
TABLET_OWNER,Male,55+,2017,Central East,7
TABLET_OWNER,Female,28-24,2017,Central East,2
TABLET_OWNER,Female,25-34,2017,Central East,17
TABLET_OWNER,Female,35-44,2017,Central East,20
TABLET_OWNER,Female,45-54,2017,Central East,11
TABLET_OWNER,Female,55+,2017,Central East,13
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2017,Central East,10
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2017,Central East,7
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2017,Central East,12
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2017,Central East,8
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2017,Central East,5
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2017,Central East,14
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2017,Central East,9
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2017,Central East,8
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2017,Central East,15
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2017,Central East,22
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2017,Central East,27
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2017,Central East,14
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2017,Central East,16
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2017,Central East,7
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2017,Central East,29
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2017,Central East,25
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2017,Central East,17
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2017,Central East,14
